업종,업소명,소재지(도로명),소재지전화,데이터기준일
일반음식점,어벤더치,부산광역시 서구 보수대로 248 (동대신동3가), 051- 253-6936,2021-11-16
휴게음식점,어벤더치커피 부산대학병원점,"부산광역시 서구 구덕로185번길 34-27, 1층 (아미동2가)", 051- 254-1101,2021-11-16
휴게음식점,어벤더치커피 부민점,"부산광역시 서구 구덕로 220, 한웅캠퍼스타워 1층 101호 (부민동1가)",,2021-11-16
휴게음식점,어벤더치 고신대점,"부산광역시 서구 감천로 253, 지하1층 (암남동)",,2021-11-16
휴게음식점,하삼동 커피 동대신동점,부산광역시 서구 구덕로334번길 6 (동대신동3가),051 -243 -1454,2021-11-16
휴게음식점,하삼동커피(동아대부민캠퍼스점),"부산광역시 서구 구덕로 224, 스카이파크 빌딩 106호 (부민동1가)",,2021-11-16
휴게음식점,하삼동 대신푸르지오점,"부산광역시 서구 고운들로 142, 1층 (서대신동1가)", 051- 911-1176,2021-11-16
휴게음식점,하삼동커피 동아대병원점,"부산광역시 서구 동대로19번길 32, 301동 103호 (동대신동3가, 브라운스톤 하이포레)",051 -231 -2266,2021-11-16
휴게음식점,하삼동커피 자갈치역점,"부산광역시 서구 구덕로 102-1, 1층 (충무동1가)",,2021-11-16
휴게음식점,커피베이 동대신점,"부산광역시 서구 보수대로 221-1, 1층 (동대신동3가)",,2021-11-16
휴게음식점,감성커피 충무대로점,"부산광역시 서구 충무대로 163-2, 1층 (남부민동)",051 -254 -3557,2021-11-16
휴게음식점,도노텀블 대티점,"부산광역시 서구 대티로 159, 117동 101,102,103일부호 (서대신동3가, 협성르네상스)",,2021-11-16
휴게음식점,블루포트 동아대 부민캠퍼스점,"부산광역시 서구 구덕로 225, 동아대학교부민캠퍼스 지하1층 (부민동2가)",,2021-11-16
일반음식점,공차동아대구덕점,부산광역시 서구 보수대로320번길 95 (서대신동3가), 051- 257-0676,2021-11-16
휴게음식점,공차 부산송도점,"부산광역시 서구 송도해변로 81, 2,3층 (암남동)",,2021-11-16
휴게음식점,공차 부산동대신점,부산광역시 서구 구덕로 316 (동대신동2가),,2021-11-16
휴게음식점,공차 부산동아대부민점,"부산광역시 서구 구덕로 220, 한웅캠퍼스타워 1층 101호 (부민동1가)",,2021-11-16
일반음식점,탐엔탐스,부산광역시 서구 송도해변로 57 (암남동),070 -8968-5285,2021-11-16
휴게음식점,탐앤탐스 부산송도해변점,"부산광역시 서구 송도해변로 139, 1,2,3층 (암남동)",,2021-11-16
휴게음식점,카페051 동대신역점,"부산광역시 서구 구덕로 328, 1층 (동대신동3가)",,2021-11-16
휴게음식점,cafe051 부산대학병원점,부산광역시 서구 구덕로193번길 12-10 (부민동2가),,2021-11-16
휴게음식점,카페051 서대신역점,"부산광역시 서구 대티로 179, 구광빌딩 1층 (서대신동3가)",,2021-11-16
휴게음식점,나인그램커피 송도점,"부산광역시 서구 충무대로 8, 102호 (암남동, 기산비치타운)",,2021-11-16
휴게음식점,컴커피 부용점(구 카페오미니),"부산광역시 서구 보수대로 115, 1층 (부용동1가)",,2021-11-16
휴게음식점,청솔로9  대신점,"부산광역시 서구 대영로 19-2, 1층 (서대신동2가)",,2021-11-16
